iter	Passed	Remaining
562	18704	14518
563	18740	14487
564	18777	14456
565	18812	14425
566	18848	14394
567	18885	14363
568	18921	14332
569	18956	14300
570	18993	14269
571	19028	14238
572	19063	14206
573	19099	14174
574	19135	14143
575	19171	14112
576	19206	14080
577	19241	14048
578	19277	14016
579	19314	13986
580	19350	13954
581	19386	13923
582	19422	13892
583	19459	13861
584	19497	13831
585	19533	13800
586	19570	13769
587	19606	13737
588	19642	13706
589	19678	13674
590	19713	13642
591	19749	13610
592	19786	13580
593	19823	13549
594	19859	13517
595	19896	13486
596	19932	13454
597	19969	13424
598	20005	13392
599	20041	13360
600	20078	13330
601	20115	13298
602	20150	13266
603	20186	13235
604	20223	13203
605	20259	13171
606	20295	13140
607	20331	13108
608	20367	13076
609	20403	13044
610	20439	13013
611	20476	12981
612	20512	12949
613	20549	12918
614	20584	12886
615	20620	12854
616	20655	12822
617	20693	12791
618	20729	12759
619	20765	12727
620	20801	12695
621	20836	12662
622	20871	12630
623	20955	12626
624	20991	12594
625	21027	12562
626	21063	12530
627	21099	12498
628	21133	12465
629	21170	12433
630	21205	12400
631	21241	12368
632	21276	12335
633	21311	12303
634	21347	12270
635	21383	12238
636	21418	12205
637	21455	12173
638	21492	12141
639	21527	12109
640	21562	12076
641	21599	12044
642	21634	12011
643	21670	11979
644	21705	11946
645	21741	11914
646	21778	11882
647	21816	11850
648	21851	11818
649	21888	11785
650	21923	11753
651	21960	11721
652	21996	11688
653	22030	11655
654	22067	11623
655	22103	11590
656	22138	11557
657	22175	11525
658	22211	11493
659	22248	11461
660	22284	11428
661	22318	11395
662	22353	11362
663	22390	11330
664	22426	11297
665	22462	11265
666	22498	11232
667	22534	11199
668	22570	11166
669	22605	11134
670	22641	11101
671	22677	11068
672	22713	11035
673	22747	11002
674	22783	10970
675	22819	10937
676	22855	10904
677	22890	10871
678	22926	10838
679	22961	10805
680	22997	10772
681	23033	10739
682	23068	10706
683	23104	10673
684	23139	10640
685	23176	10608
686	23212	10575
687	23247	10542
688	23282	10509
689	23318	10476
690	23354	10443
691	23390	10410
692	23426	10377
693	23462	10345
694	23498	10312
695	23534	10279
696	23570	10246
697	23606	10213
698	23647	10182
699	23684	10150
700	23719	10117
701	23755	10084
702	23792	10051
703	23828	10018
704	23864	9985
705	23901	9953
706	23936	9919
707	23971	9886
708	24007	9853
709	24043	9820
710	24082	9788
711	24118	9755
712	24153	9722
713	24188	9688
714	24225	9656
715	24261	9623
716	24295	9589
717	24330	9555
718	24367	9523
719	24403	9490
720	24437	9456
721	24473	9423
722	24509	9390
723	24545	9356
724	24578	9322
725	24613	9289
726	24651	9256
727	24686	9223
728	24722	9190
729	24758	9157
730	24794	9124
731	24852	9099
732	24889	9066
733	24929	9034
734	24964	9000
735	24999	8967
736	25035	8934
737	25071	8900
738	25107	8867
739	25142	8834
740	25180	8801
741	25216	8768
742	25252	8734
743	25287	8701
744	25323	8667
745	25358	8634
746	25395	8601
747	25432	8568
748	25469	8535
749	25504	8501
750	25542	8468
751	25577	8434
752	25612	8401
753	25649	8368
754	25686	8335
755	25722	8301
756	25757	8268
757	25793	8234
758	25829	8201
759	25864	8167
760	25900	8134
761	25936	8100
762	25972	8067
763	26009	8034
764	26044	8000
765	26079	7966
766	26115	7933
767	26159	7902
768	26193	7868
769	26229	7834
770	26265	7801
771	26300	7767
772	26337	7734
773	26373	7700
774	26409	7667
775	26445	7633
776	26481	7600
777	26516	7566
778	26551	7532
779	26587	7499
780	26622	7465
781	26657	7431
782	26693	7397
783	26730	7364
784	26766	7330
785	26803	7297
786	26839	7264
787	26875	7230
788	26910	7196
789	26946	7162
790	26982	7129
791	27017	7095
792	27054	7062
793	27091	7028
794	27126	6994
795	27175	6964
796	27211	6930
797	27253	6898
798	27289	6865
799	27326	6831
800	27362	6797
801	27398	6764
802	27434	6730
803	27471	6696
804	27507	6663
805	27543	6629
806	27578	6595
807	27613	6561
808	27650	6528
809	27684	6493
810	27720	6460
811	27756	6426
812	27792	6392
813	27827	6358
814	27876	6327
815	27911	6293
816	27946	6259
817	27981	6225
818	28017	6191
819	28053	6158
820	28088	6124
821	28124	6090
822	28160	6056
823	28196	6022
824	28232	5988
825	28269	5955
826	28305	5921
827	28341	5887
828	28377	5853
829	28438	5824
830	28475	5791
831	28510	5757
832	28546	5723
833	28583	5689
834	28618	5655
835	28653	5621
836	28718	5592
837	28754	5558
838	28790	5524
839	28827	5490
840	28863	5456
841	28898	5422
842	28933	5388
843	28970	5354
844	29006	5320
845	29042	5286
846	29085	5253
847	29121	5219
848	29159	5186
849	29195	5152
850	29232	5118
851	29267	5084
852	29303	5049
853	29339	5015
854	29374	4981
855	29409	4947
856	29445	4913
857	29482	4879
858	29517	4845
859	29553	4811
860	29589	4776
861	29625	4742
862	29661	4708
863	29698	4674
864	29736	4640
865	29771	4606
866	29806	4572
867	29842	4538
868	29879	4504
869	29914	4470
870	29951	4435
871	29988	4401
872	30025	4367
873	30061	4333
874	30099	4299
875	30135	4265
876	30171	4231
877	30217	4198
878	30254	4164
879	30290	4130
880	30325	4096
881	30362	4062
882	30397	4027
883	30433	3993
884	30469	3959
885	30506	3925
886	30540	3890
887	30576	3856
888	30611	3822
889	30646	3787
890	30682	3753
891	30717	3719
892	30753	3684
893	30789	3650
894	30825	3616
895	30862	3582
896	30901	3548
897	30938	3514
898	30973	3479
899	31010	3445
900	31045	3411
901	31081	3376
902	31116	3342
903	31155	3308
904	31194	3274
905	31232	3240
906	31270	3206
907	31316	3173
908	31352	3138
909	31390	3104
910	31427	3070
911	31463	3035
912	31499	3001
913	31534	2967
914	31571	2932
915	31608	2898
916	31659	2865
917	31695	2831
918	31730	2796
919	31766	2762
920	31803	2727
921	31838	2693
922	31878	2659
923	31917	2625
924	31954	2590
925	31994	2556
926	32031	2522
927	32070	2488
928	32113	2454
929	32150	2419
930	32189	2385
931	32229	2351
932	32285	2318
933	32330	2284
934	32369	2250
935	32408	2215
936	32446	2181
937	32488	2147
938	32534	2113
939	32573	2079
940	32612	2044
941	32651	2010
942	32704	1976
943	32752	1942
944	32790	1908
945	32829	1873
946	32865	1839
947	32900	1804
948	32937	1770
949	32974	1735
950	33009	1700
951	33044	1666
952	33083	1631
953	33119	1596
954	33156	1562
955	33192	1527
956	33229	1493
957	33263	1458
958	33299	1423
959	33336	1389
960	33371	1354
961	33408	1319
962	33445	1285
963	33480	1250
964	33517	1215
965	33553	1180
966	33589	1146
967	33625	1111
968	33660	1076
969	33699	1042
970	33737	1007
971	33776	972
972	33814	938
973	33854	903
974	33896	869
975	33935	834
976	33970	799
977	34007	764
978	34044	730
979	34082	695
980	34125	660
981	34164	626
982	34200	591
983	34237	556
984	34274	521
985	34311	487
986	34348	452
987	34385	417
988	34422	382
989	34459	348
990	34495	313
991	34530	278
992	34567	243
993	34604	208
994	34643	174
995	34683	139
996	34719	104
997	34756	69
998	34793	34
999	34830	0
