iter	Passed	Remaining
0	169	169497
1	202	101085
2	237	78987
3	272	67916
4	302	60108
5	321	53286
6	357	50742
7	393	48777
8	424	46714
9	460	45611
10	472	42439
11	522	42978
12	557	42336
13	594	41881
14	630	41395
15	648	39912
16	657	37997
17	691	37724
18	704	36382
19	719	35240
20	727	33896
21	762	33883
22	797	33887
23	833	33889
24	867	33830
25	880	32996
26	940	33891
27	986	34234
28	1020	34178
29	1055	34119
30	1090	34079
31	1126	34072
32	1162	34056
33	1197	34025
34	1232	33977
35	1267	33944
36	1303	33931
37	1328	33634
38	1347	33196
39	1360	32657
40	1390	32516
41	1408	32121
42	1443	32115
43	1472	32001
44	1502	31887
45	1538	31908
46	1546	31367
47	1571	31159
48	1584	30745
49	1597	30352
50	1631	30363
51	1666	30381
52	1702	30412
53	1710	29964
54	1743	29962
55	1761	29700
56	1780	29450
57	1813	29455
58	1851	29534
59	1886	29561
60	1924	29620
61	1964	29717
62	1972	29339
63	1986	29050
64	2000	28782
65	2021	28609
66	2029	28264
67	2048	28076
68	2083	28113
69	2096	27857
70	2130	27874
71	2138	27561
72	2173	27594
73	2186	27358
74	2204	27190
75	2235	27180
76	2270	27220
77	2299	27186
78	2315	26990
79	2323	26717
80	2357	26741
81	2395	26819
82	2404	26563
83	2439	26601
84	2448	26354
85	2483	26393
86	2496	26201
87	2509	26009
88	2534	25940
89	2554	25823
90	2588	25860
91	2623	25890
92	2658	25930
93	2698	26010
94	2735	26060
95	2771	26094
96	2794	26014
97	2813	25896
98	2826	25725
99	2840	25563
100	2875	25593
101	2910	25624
102	2928	25503
103	2963	25532
104	3001	25584
105	3035	25601
106	3068	25607
107	3076	25407
108	3084	25210
109	3118	25232
110	3153	25254
111	3186	25263
112	3221	25288
113	3264	25374
114	3300	25395
115	3333	25399
116	3369	25430
117	3393	25363
118	3427	25373
119	3461	25387
120	3496	25400
121	3545	25517
122	3581	25536
123	3605	25470
124	3639	25474
125	3674	25486
126	3709	25497
127	3732	25428
128	3756	25363
129	3790	25368
130	3839	25468
131	3863	25403
132	3897	25404
133	3932	25412
134	3967	25419
135	4011	25482
136	4045	25483
137	4071	25434
138	4095	25370
139	4129	25365
140	4164	25370
141	4198	25366
142	4206	25208
143	4240	25206
144	4274	25207
145	4323	25287
146	4358	25289
147	4366	25134
148	4399	25128
149	4433	25123
150	4456	25055
151	4463	24902
152	4497	24895
153	4531	24893
154	4566	24892
155	4594	24856
156	4627	24846
157	4661	24839
158	4673	24720
159	4707	24712
160	4739	24700
161	4775	24704
162	4810	24701
163	4844	24697
164	4857	24584
165	4891	24573
166	4926	24573
167	4960	24567
168	4995	24562
169	5018	24502
170	5052	24494
171	5088	24495
172	5137	24556
173	5171	24548
174	5184	24442
175	5219	24435
176	5245	24387
177	5280	24383
178	5314	24377
179	5349	24368
180	5384	24362
181	5414	24333
182	5448	24325
183	5476	24288
184	5512	24282
185	5539	24244
186	5576	24245
187	5611	24237
188	5646	24230
189	5681	24219
190	5716	24214
191	5747	24186
192	5780	24170
193	5816	24164
194	5850	24153
195	5875	24099
196	5909	24086
197	5944	24078
198	5973	24043
199	5986	23944
200	6019	23928
201	6055	23922
202	6090	23913
203	6120	23882
204	6128	23765
205	6162	23751
206	6197	23741
207	6231	23729
208	6269	23726
209	6304	23716
210	6338	23702
211	6372	23685
212	6412	23693
213	6436	23639
214	6467	23614
215	6502	23600
216	6537	23588
217	6572	23575
218	6606	23559
219	6625	23488
220	6658	23471
221	6694	23460
222	6730	23450
223	6764	23433
224	6799	23421
225	6833	23402
226	6867	23387
227	6903	23374
228	6937	23355
229	6950	23269
230	6983	23249
231	7007	23198
232	7042	23183
233	7080	23177
234	7099	23110
235	7118	23044
236	7153	23030
237	7253	23221
238	7331	23344
239	7370	23341
240	7388	23270
241	7427	23265
242	7470	23271
243	7507	23259
244	7541	23241
245	7577	23225
246	7612	23207
247	7646	23187
248	7682	23172
249	7717	23152
250	7753	23137
251	7789	23120
252	7824	23102
253	7859	23084
254	7868	22987
255	7904	22971
256	7942	22961
257	7979	22950
258	8015	22931
259	8049	22909
260	8084	22890
261	8118	22868
262	8154	22850
263	8188	22829
264	8231	22829
265	8267	22812
266	8302	22792
267	8337	22772
268	8378	22767
269	8412	22745
270	8451	22736
271	8489	22721
272	8529	22712
273	8563	22689
274	8597	22666
275	8636	22654
276	8671	22632
277	8707	22613
278	8731	22563
279	8744	22486
280	8779	22463
281	8814	22441
282	8851	22426
283	8886	22404
284	8922	22383
285	8956	22359
286	8975	22298
287	9010	22275
288	9050	22265
289	9084	22242
290	9120	22221
291	9133	22145
292	9168	22123
293	9203	22101
294	9217	22028
295	9253	22009
296	9288	21986
297	9325	21968
298	9361	21946
299	9397	21926
300	9431	21903
301	9455	21855
302	9490	21830
303	9525	21808
304	9561	21787
305	9595	21762
306	9631	21741
307	9645	21670
308	9680	21648
309	9719	21633
310	9755	21613
311	9806	21623
312	9841	21600
313	9877	21579
314	9914	21561
315	9949	21537
316	9984	21511
317	10019	21488
318	10053	21461
319	10078	21416
320	10112	21391
321	10148	21368
322	10184	21345
323	10223	21329
324	10262	21313
325	10275	21244
326	10310	21220
327	10344	21193
328	10380	21170
329	10416	21147
330	10467	21156
331	10502	21130
332	10537	21106
333	10571	21080
334	10607	21055
335	10626	20999
336	10662	20976
337	10697	20951
338	10733	20929
339	10768	20903
340	10803	20878
341	10822	20822
342	10857	20796
343	10892	20771
344	10928	20747
345	10964	20724
346	10999	20700
347	11035	20675
348	11070	20650
349	11105	20625
350	11141	20599
351	11175	20573
352	11211	20548
353	11245	20521
354	11270	20476
355	11305	20451
356	11340	20425
357	11375	20399
358	11409	20371
359	11446	20349
360	11488	20335
361	11524	20311
362	11560	20286
363	11595	20261
364	11630	20233
365	11665	20207
366	11702	20183
367	11738	20159
368	11773	20132
369	11797	20087
370	11831	20059
371	11866	20032
372	11881	19972
373	11916	19946
374	11952	19921
375	11990	19898
376	12025	19872
377	12061	19847
378	12096	19821
379	12132	19795
380	12169	19771
381	12206	19747
382	12220	19686
383	12254	19658
384	12290	19632
385	12325	19606
386	12359	19577
387	12397	19554
388	12434	19530
389	12469	19504
390	12507	19480
391	12547	19462
392	12583	19436
393	12620	19411
394	12657	19387
395	12697	19366
396	12732	19339
397	12767	19311
398	12803	19286
399	12838	19258
400	12875	19233
401	12911	19205
402	12945	19177
403	12981	19150
404	13016	19123
405	13052	19096
406	13088	19069
407	13107	19019
408	13142	18990
409	13178	18964
410	13214	18938
411	13249	18909
412	13285	18882
413	13320	18854
414	13356	18827
415	13392	18800
416	13427	18772
417	13460	18742
418	13497	18716
419	13533	18688
420	13569	18661
421	13605	18634
422	13641	18608
423	13677	18581
424	13714	18555
425	13752	18530
426	13789	18503
427	13825	18476
428	13860	18448
429	13898	18423
430	13934	18396
431	13969	18367
432	14005	18340
433	14041	18312
434	14077	18284
435	14111	18254
436	14146	18225
437	14181	18196
438	14218	18169
439	14253	18140
440	14291	18115
441	14327	18088
442	14362	18058
443	14397	18028
444	14433	18000
445	14468	17972
446	14504	17943
447	14539	17914
448	14574	17884
449	14610	17856
450	14646	17829
451	14681	17799
452	14718	17772
453	14754	17744
454	14790	17716
455	14826	17687
456	14860	17657
457	14899	17631
458	14934	17602
459	14969	17573
460	15005	17544
461	15041	17515
462	15075	17484
463	15110	17455
464	15145	17425
465	15181	17396
466	15218	17369
467	15257	17344
468	15294	17316
469	15330	17287
470	15366	17258
471	15402	17230
472	15439	17202
473	15477	17175
474	15514	17147
475	15550	17118
476	15585	17088
477	15621	17059
478	15656	17029
479	15692	17000
480	15728	16971
481	15764	16941
482	15802	16915
483	15838	16885
484	15874	16856
485	15911	16827
486	15946	16797
487	15981	16767
488	16018	16738
489	16055	16710
490	16090	16680
491	16127	16651
492	16161	16620
493	16196	16589
494	16233	16561
495	16268	16530
496	16304	16501
497	16340	16471
498	16376	16442
499	16411	16411
500	16447	16381
501	16482	16351
502	16516	16319
503	16552	16289
504	16588	16259
505	16624	16229
506	16659	16199
507	16699	16173
508	16736	16144
509	16772	16114
510	16807	16083
511	16842	16053
512	16878	16022
513	16913	15992
514	16950	15962
515	16985	15932
516	17022	15902
517	17056	15870
518	17091	15840
519	17128	15811
520	17163	15779
521	17199	15749
522	17235	15719
523	17271	15689
524	17306	15658
525	17340	15626
526	17376	15595
527	17412	15565
528	17453	15539
529	17489	15509
530	17529	15482
531	17564	15451
532	17599	15420
533	17665	15415
534	17702	15386
535	17738	15355
536	17774	15325
537	17810	15294
538	17846	15263
539	17883	15233
540	17919	15203
541	17954	15172
542	17992	15142
543	18026	15110
544	18062	15079
545	18096	15047
546	18132	15016
547	18168	14985
548	18203	14953
549	18238	14922
550	18275	14892
551	18310	14860
552	18347	14830
553	18383	14799
554	18418	14767
555	18453	14736
556	18489	14705
557	18526	14674
558	18562	14643
559	18596	14611
560	18631	14580
561	18668	14549
