iter	Logloss
0	0.674544663
1	0.6567025657
2	0.6399580072
3	0.6243971732
4	0.6100390398
5	0.5965865042
6	0.5837867014
7	0.5718515608
8	0.5606077753
9	0.5496596511
10	0.5399319756
11	0.5306307846
12	0.5218089259
13	0.513722668
14	0.5058778989
15	0.4987950591
16	0.4921865022
17	0.4853620474
18	0.4795594671
19	0.4741073229
20	0.4689968906
21	0.4639635028
22	0.4593151238
23	0.4549744671
24	0.4508586335
25	0.4471421336
26	0.4433966383
27	0.4400353748
28	0.4366057672
29	0.4333301655
30	0.4305038119
31	0.4278864271
32	0.4250809062
33	0.4226726392
34	0.4205036854
35	0.4184373729
36	0.4164162638
37	0.4146527284
38	0.4130075877
39	0.411322795
40	0.4098585029
41	0.4084923564
42	0.4068880127
43	0.4055752568
44	0.4044321587
45	0.4029920659
46	0.4019924462
47	0.4008380741
48	0.3999498335
49	0.3989222425
50	0.3981176595
51	0.3971432024
52	0.3962677235
53	0.3956160931
54	0.3949971273
55	0.3943806216
56	0.3938339678
57	0.3932442127
58	0.3925215926
59	0.3918102921
60	0.3912074883
61	0.390536433
62	0.3901596436
63	0.3896745866
64	0.3893354682
65	0.3890028998
66	0.3887052875
67	0.3884024293
68	0.3879820521
69	0.3877307264
70	0.3873320408
71	0.3871104931
72	0.3867657201
73	0.3865687153
74	0.3863750264
75	0.386167203
76	0.3857578505
77	0.3855684041
78	0.3854218363
79	0.3852837306
80	0.3849013453
81	0.3846658829
82	0.3845507768
83	0.3843816775
84	0.3842791565
85	0.3841146029
86	0.3840212023
87	0.3839280359
88	0.3837073309
89	0.3836259689
90	0.3833887483
91	0.3831469853
92	0.3830076675
93	0.3827609353
94	0.3825928393
95	0.3821483376
96	0.3820608471
97	0.3820092655
98	0.3819644175
99	0.3819114873
100	0.3816914265
101	0.381474967
102	0.3814401626
103	0.381266889
104	0.3810383935
105	0.3808814646
106	0.3807844931
107	0.3807587264
108	0.3807343632
109	0.3805994279
110	0.380175134
111	0.3800977412
112	0.379899173
113	0.3797626842
114	0.379652632
115	0.3794848829
116	0.3792836268
117	0.3792256675
118	0.3791031012
119	0.3789477251
120	0.3787686624
121	0.3786637517
122	0.3785492454
123	0.3785093799
124	0.3784519333
125	0.3782711197
126	0.378199851
127	0.3781152599
128	0.3780739446
129	0.3778350654
130	0.3776527297
131	0.3775936965
132	0.3775178536
133	0.3773350234
134	0.3772154729
135	0.3771401481
136	0.3769932988
137	0.3769507846
138	0.3769179259
139	0.3768220252
140	0.3765978136
141	0.3765432722
142	0.3765406065
143	0.3764689193
144	0.3763654637
145	0.3762816627
146	0.376177499
147	0.3761756015
148	0.3759566321
149	0.375921053
150	0.3758814079
151	0.3758799418
152	0.3757480884
153	0.3756898063
154	0.3755587652
155	0.3755019894
156	0.3753866173
157	0.3751709762
158	0.375170052
159	0.3751333933
160	0.3750314271
161	0.3749386629
162	0.3749125987
163	0.3748039968
164	0.3748033921
165	0.3747733729
166	0.3746675625
167	0.3743909327
168	0.3742989953
169	0.3742700439
170	0.3741808836
171	0.3741306241
172	0.3740500556
173	0.3739920646
174	0.3739440039
175	0.3738658689
176	0.3738506949
177	0.3738172048
178	0.3737868159
179	0.3737328359
180	0.3736156864
181	0.3735786429
182	0.373405721
183	0.3733969485
184	0.373269852
185	0.3732613399
186	0.3731804509
187	0.3731263337
188	0.3730450454
189	0.3729490155
190	0.3727476702
191	0.3727132886
192	0.3726525918
193	0.3725954599
194	0.3724968209
195	0.3724370746
196	0.3723841511
197	0.3723572041
198	0.3723367811
199	0.3723309906
